"codigo","provincia","departamento","pob_2022","viv_total","viv_partic","viv_presen","viv_ausent","viv_colect"
"02007","Ciudad Autónoma de Buenos Aires","Comuna 1",223554,130298,130145,104984,25161,153
"02014","Ciudad Autónoma de Buenos Aires","Comuna 2",161645,107544,107498,83038,24460,46
"02021","Ciudad Autónoma de Buenos Aires","Comuna 3",196240,110368,110264,91391,18873,104
"02028","Ciudad Autónoma de Buenos Aires","Comuna 4",229240,100986,100950,90018,10932,36
"02035","Ciudad Autónoma de Buenos Aires","Comuna 5",194271,106054,105979,92166,13813,75
"02042","Ciudad Autónoma de Buenos Aires","Comuna 6",203043,106725,106669,94566,12103,56
"02049","Ciudad Autónoma de Buenos Aires","Comuna 7",215896,99708,99624,89905,9719,84
"02056","Ciudad Autónoma de Buenos Aires","Comuna 8",204367,73037,73029,69286,3743,8
"02063","Ciudad Autónoma de Buenos Aires","Comuna 9",169063,75361,75315,65918,9397,46
"02070","Ciudad Autónoma de Buenos Aires","Comuna 10",173004,84264,84220,73305,10915,44
"02077","Ciudad Autónoma de Buenos Aires","Comuna 11",204601,100824,100777,86950,13827,47
"02084","Ciudad Autónoma de Buenos Aires","Comuna 12",236887,120938,120868,107094,13774,70
"02091","Ciudad Autónoma de Buenos Aires","Comuna 13",264385,145557,145490,126307,19183,67
"02098","Ciudad Autónoma de Buenos Aires","Comuna 14",248635,150826,150774,126532,24242,52
"02105","Ciudad Autónoma de Buenos Aires","Comuna 15",196876,102810,102752,89798,12954,58
"06028","Buenos Aires","Almirante Brown",584827,191579,191524,184037,7487,55
"06035","Buenos Aires","Avellaneda",367554,145388,145330,133402,11928,58
"06091","Buenos Aires","Berazategui",358712,121135,121114,114468,6646,21
"06260","Buenos Aires","Esteban Echeverría",338480,114379,114348,106700,7648,31
"06270","Buenos Aires","Ezeiza",201511,67423,67409,61956,5453,14
"06274","Buenos Aires","Florencio Varela",496433,148989,148957,143541,5416,32
"06371","Buenos Aires","General San Martín",450575,173717,173636,159346,14290,81
"06408","Buenos Aires","Hurlingham",185641,65631,65615,62380,3235,16
"06410","Buenos Aires","Ituzaingó",180232,65385,65342,61513,3829,43
"06412","Buenos Aires","José C. Paz",326992,99856,99841,96214,3627,15
"06427","Buenos Aires","La Matanza",1841247,605680,605557,568103,37454,123
"06434","Buenos Aires","Lanús",461267,181081,181026,165636,15390,55
"06490","Buenos Aires","Lomas de Zamora",690323,245763,245682,231233,14449,81
"06515","Buenos Aires","Malvinas Argentinas",350674,108547,108522,105207,3315,25
"06539","Buenos Aires","Merlo",582486,187274,187239,179416,7823,35
"06560","Buenos Aires","Moreno",576632,192083,192037,178447,13590,46
"06568","Buenos Aires","Morón",331183,141287,141238,127068,14170,49
"06658","Buenos Aires","Quilmes",633391,226056,225987,211343,14644,69
"06749","Buenos Aires","San Fernando",171616,63969,63949,59461,4488,20
"06756","Buenos Aires","San Isidro",297282,121350,121287,109286,12001,63
"06760","Buenos Aires","San Miguel",328835,113751,113702,107563,6139,49
"06805","Buenos Aires","Tigre",446949,158930,158895,144863,14032,35
"06840","Buenos Aires","Tres de Febrero",364176,149433,149364,134970,14394,69
"06861","Buenos Aires","Vicente López",282281,125809,125737,113534,12203,72
"06007","Buenos Aires","Adolfo Alsina",17552,8861,8840,7161,1679,21
"06014","Buenos Aires","Adolfo Gonzales Chaves",12914,5962,5955,5088,867,7
"06021","Buenos Aires","Alberti",12982,5893,5885,4879,1006,8
"06077","Buenos Aires","Arrecifes",32215,12879,12869,11619,1250,10
"06042","Buenos Aires","Ayacucho",21977,9879,9864,8275,1589,15
"06049","Buenos Aires","Azul",75905,31618,31590,28074,3516,28
"06056","Buenos Aires","Bahía Blanca",336574,149008,148924,130861,18063,84
"06063","Buenos Aires","Balcarce",48982,20472,20449,17923,2526,23
"06070","Buenos Aires","Baradero",40002,15343,15305,13540,1765,38
"06084","Buenos Aires","Benito Juárez",22292,9372,9358,7995,1363,14
"06098","Buenos Aires","Berisso",100930,36569,36557,34305,2252,12
"06105","Buenos Aires","Bolívar",37594,17561,17524,14673,2851,37
"06112","Buenos Aires","Bragado",46504,19838,19817,17227,2590,21
"06119","Buenos Aires","Brandsen",32448,14682,14675,11300,3375,7
"06126","Buenos Aires","Campana",110566,41642,41628,37072,4556,14
"06134","Buenos Aires","Cañuelas",70684,27500,27492,23232,4260,8
"06140","Buenos Aires","Capitán Sarmiento",15965,6359,6355,5714,641,4
