"id","no_folio","fecha_evento","tipo_de_evento","coordenada_x","coordenada_y"
0,"BJ/200406/03499",2020-04-06,"CHOQUE",-99.142903,19.368116
1,"C5/200406/05748",2020-04-06,"CHOQUE",-99.115521,19.301142
2,"C5/200406/05802",2020-04-06,"CHOQUE",-99.092207,19.476843
3,"IZ/200406/03058",2020-04-06,"DERRAPADO",-98.98467,19.298474
4,"C5/200406/03762",2020-04-06,"DERRAPADO",-99.204754,19.43617
5,"C5/200406/04540",2020-04-06,"DERRAPADO",-99.192495,19.403471
6,"C5/200407/02113",2020-04-07,"ATROPELLADO",-99.11949,19.47042
7,"GA/200407/05427",2020-04-07,"ATROPELLADO",-99.118281,19.466033
8,"C5/200407/01687",2020-04-07,"CHOQUE",-99.13366,19.430129
9,"IZ/200407/03318",2020-04-07,"CHOQUE",-98.965149,19.307989
10,"C5/200407/04728",2020-04-07,"CHOQUE",-99.12511,19.40146
11,"C5/200407/04921",2020-04-07,"CHOQUE",-99.11594,19.45007
12,"C5/200407/00216",2020-04-07,"DERRAPADO",-99.08709,19.437779
13,"C5/200407/00459",2020-04-07,"DERRAPADO",-99.3021,19.359309
14,"C5/200407/01694",2020-04-07,"DERRAPADO",-99.18488,19.295659
15,"BJ/200407/02054",2020-04-07,"DERRAPADO",-99.142779,19.361559
16,"C5/200408/02950",2020-04-08,"ATROPELLADO",-99.009315,19.347028
17,"C5/200408/06511",2020-04-08,"ATROPELLADO",-99.086689,19.191628
18,"C5/200408/05501",2020-04-08,"CHOQUE",-99.155638,19.401693
19,"C5/200408/01362",2020-04-08,"DERRAPADO",-99.15883,19.424605
20,"C5/200408/03206",2020-04-08,"DERRAPADO",-99.136785,19.41372
21,"CH/200408/03536",2020-04-08,"DERRAPADO",-99.160424,19.434724
22,"CH/200408/05419",2020-04-08,"DERRAPADO",-99.134178,19.422969
23,"C5/200408/00493",2020-04-08,"DERRAPADO",-99.056961,19.35103
24,"C5/200408/006837",2020-04-08,"DERRAPADO",-99.110995,19.356459
25,"C5/200409/02101",2020-04-09,"ATROPELLADO",-99.14401,19.436709
26,"C5/200409/02947",2020-04-09,"CAIDA DE CICLISTA",-99.13001,19.43264
27,"CH/200409/01064",2020-04-09,"CHOQUE",-99.13141,19.425749
28,"IZ/200409/01064",2020-04-09,"CHOQUE",-99.016312,19.372236
29,"C5/200409/01815",2020-04-09,"CHOQUE",-99.131279,19.502832
30,"C5/200409/01852",2020-04-09,"CHOQUE",-99.23032,19.29418
31,"C5/200409/03152",2020-04-09,"CHOQUE",-99.181324,19.395646
32,"C5/200409/04342",2020-04-09,"CHOQUE",-99.086917,19.410522
33,"C5/200409/05551",2020-04-09,"CHOQUE",-99.09622,19.357039
34,"C5/200409/06792",2020-04-09,"CHOQUE",-99.184874,19.391174
35,"C5/200409/03734",2020-04-09,"DERRAPADO",-99.17245,19.37934
36,"C5/200409/03805",2020-04-09,"DERRAPADO",-99.09902,19.39815
37,"C5/200409/06250",2020-04-09,"DERRAPADO",-99.12876,19.40363
38,"C5/200409/06411",2020-04-09,"DERRAPADO",-99.178747,19.458899
39,"C5/200410/00035",2020-04-10,"ATROPELLADO",-99.0463,19.2999
40,"C5/200410/05511",2020-04-10,"ATROPELLADO",-99.060277,19.353114
41,"C5/200410/02432",2020-04-10,"CHOQUE",-99.093353,19.356052
42,"C5/200410/03713",2020-04-10,"CHOQUE",-99.22296,19.422764
43,"C5/200410/05054",2020-04-10,"CHOQUE",-99.167101,19.387352
44,"C5/200410/06718",2020-04-10,"CHOQUE",-99.192151,19.442178
45,"C5/200410/01155",2020-04-10,"DERRAPADO",-99.065882,19.254917
46,"C5/200410/05409",2020-04-10,"DERRAPADO",-99.148152,19.267057
47,"C5/200410/05550",2020-04-10,"DERRAPADO",-99.142878,19.46524
48,"IZ/200410/05778",2020-04-10,"DERRAPADO",-99.075721,19.347342
49,"C5/200410/07235",2020-04-10,"DERRAPADO",-99.122592,19.507543
50,"C5/200410/07532",2020-04-10,"DERRAPADO",-99.222201,19.329714
51,"C5/200411/07800",2020-04-11,"ATROPELLADO",-99.226519,19.36134
52,"C5/200411/01517",2020-04-11,"CHOQUE",-99.088388,19.35778
53,"C5/200411/02501",2020-04-11,"CHOQUE",-99.22883,19.319599
54,"C5/200411/02853",2020-04-11,"CHOQUE",-99.09972,19.459379
55,"C5/200411/03860",2020-04-11,"CHOQUE",-99.149119,19.377775
56,"C5/200411/04223",2020-04-11,"CHOQUE",-99.08047,19.41044
57,"C5/200411/04264",2020-04-11,"CHOQUE",-99.171219,19.393769
58,"C5/200411/04467",2020-04-11,"CHOQUE",-99.18515,19.458639
59,"C5/200411/05998",2020-04-11,"CHOQUE",-99.220439,19.321419
60,"C5/200411/06226",2020-04-11,"CHOQUE",-99.17249,19.49108
61,"GA/200411/07158",2020-04-11,"CHOQUE",-99.060115,19.447445
62,"C5/200411/07892",2020-04-11,"CHOQUE",-99.2202,19.36492
63,"C5/200411/09678",2020-04-11,"CHOQUE",-99.093579,19.503189
64,"C5/200411/00015",2020-04-11,"DERRAPADO",-99.172779,19.38402
65,"IZ/200411/00355",2020-04-11,"DERRAPADO",-99.096257,19.361782
66,"C5/200411/05104",2020-04-11,"DERRAPADO",-99.167649,19.292339
67,"C5/200411/06978",2020-04-11,"DERRAPADO",-98.99844,19.359039
68,"C5/200411/01265",2020-04-11,"VOLCADURA",-99.148119,19.3793
69,"C5/200412/01480",2020-04-12,"ATROPELLADO",-99.157393,19.235287
70,"C5/200412/05989",2020-04-12,"ATROPELLADO",-99.14069,19.312659
71,"C5/200412/06298",2020-04-12,"ATROPELLADO",-99.101485,19.331506
72,"C5/200412/06803",2020-04-12,"ATROPELLADO",-99.07565,19.31839
73,"C5/200412/05586",2020-04-12,"CAIDA DE CICLISTA",-99.18042,19.30766
74,"CH/200412/03023",2020-04-12,"CHOQUE",-99.129425,19.437025
75,"C5/200412/03561",2020-04-12,"CHOQUE",-99.001239,19.26639
76,"C5/200412/04349",2020-04-12,"CHOQUE",-99.0928,19.383789
77,"C5/200412/06353",2020-04-12,"CHOQUE",-99.12066,19.479719
78,"AO/200412/02722",2020-04-12,"DERRAPADO",-99.261259,19.37598
79,"C5/200412/02767",2020-04-12,"DERRAPADO",-99.20504,19.366419
80,"C5/200412/04577",2020-04-12,"DERRAPADO",-99.118329,19.43811
81,"2612782",2020-04-13,"ATROPELLADO",-99.230806,19.371697
82,"GA/200413/04474",2020-04-13,"ATROPELLADO",-99.086078,19.474603
83,"C5/200413/06560",2020-04-13,"ATROPELLADO",-99.116165,19.461787
84,"C5/200413/04260",2020-04-13,"CAIDA DE CICLISTA",-99.16806,19.390013
85,"C5/200413/01930",2020-04-13,"CAIDA DE PASAJERO",-99.102328,19.417307
86,"C5/200413/02530",2020-04-13,"CHOQUE",-99.060022,19.316342
87,"C5/200413/03047",2020-04-13,"CHOQUE",-99.17138,19.34358
88,"C5/200413/04790",2020-04-13,"CHOQUE",-99.227189,19.28033
89,"C5/200413/05580",2020-04-13,"DERRAPADO",-99.092019,19.466829
90,"C5/200413/06793",2020-04-13,"DERRAPADO",-99.12493,19.46834
91,"C5/200414/06816",2020-04-14,"CAIDA DE CICLISTA",-99.167212,19.39757
92,"C5/200414/03384",2020-04-14,"CHOQUE",-99.139815,19.305558
93,"C5/200414/04544",2020-04-14,"CHOQUE",-99.138257,19.323458
94,"2615752",2020-04-14,"CHOQUE",-99.222523,19.396241
95,"C5/200414/03129",2020-04-14,"DERRAPADO",-99.164921,19.370662
96,"C5/200414/04787",2020-04-14,"DERRAPADO",-99.188946,19.456765
97,"C5/200415/03761",2020-04-15,"ATROPELLADO",-99.10823,19.448399
98,"C5/200415/01246",2020-04-15,"CHOQUE",-99.08552,19.36796
99,"C5/200415/01865",2020-04-15,"CHOQUE",-99.14068,19.37715
100,"C5/200415/01943",2020-04-15,"CHOQUE",-99.186869,19.444169
101,"C5/200415/02425",2020-04-15,"CHOQUE",-99.21033,19.33152
102,"C5/200415/03076",2020-04-15,"CHOQUE",-99.110589,19.38131
103,"C5/200415/03589",2020-04-15,"CHOQUE",-99.18554,19.39479
104,"C5/200415/03965",2020-04-15,"CHOQUE",-99.06824,19.37564
105,"C5/200415/05736",2020-04-15,"CHOQUE",-99.00698,19.36527
106,"C5/200415/06426",2020-04-15,"CHOQUE",-99.23676,19.317549
107,"C5/200415/06480",2020-04-15,"CHOQUE",-99.134539,19.416989
108,"C5/200415/00173",2020-04-15,"DERRAPADO",-99.114789,19.435419
109,"IZ/200415/01671",2020-04-15,"DERRAPADO",-99.06346,19.29849
110,"C5/200415/05320",2020-04-15,"DERRAPADO",-99.07643,19.4981
111,"C5/200415/05424",2020-04-15,"DERRAPADO",-99.118119,19.46583
112,"C5/200415/00272",2020-04-15,"VOLCADURA",-99.041578,19.204342
113,"C5/200416/04146",2020-04-16,"CAIDA DE CICLISTA",-99.071355,19.248873
114,"C5/200416/00073",2020-04-16,"CHOQUE",-99.206026,19.272273
115,"C5/200416/00611",2020-04-16,"CHOQUE",-99.125477,19.485444
116,"C5/200416/01606",2020-04-16,"CHOQUE",-99.22091,19.321051
117,"C5/200416/03809",2020-04-16,"CHOQUE",-99.08996,19.358598
118,"C5/200416/03946",2020-04-16,"CHOQUE",-99.066137,19.417147
119,"C5/200416/05157",2020-04-16,"CHOQUE",-99.127638,19.40897
120,"C5/200416/07446",2020-04-16,"CHOQUE",-99.103476,19.26702
121,"GA/200416/00723",2020-04-16,"DERRAPADO",-99.140786,19.52137
122,"C5/200416/02664",2020-04-16,"DERRAPADO",-99.08647,19.436052
