"regimen","nombre","direccion_norm","barrio","comuna"
"Privado","FLACSO (Facultad Latinoamericana de Ciencias Sociales)","Ayacucho 555","Balvanera","Comuna 3"
"Privado","Instituto Tecnológico de Buenos Aires","Av. Eduardo Madero 399","Puerto Madero","Comuna 1"
"Privado","Instituto Universitario CEMIC","Galván 4102","Saavedra","Comuna 12"
"Privado","Instituto Universitario CEMIC","Valdenegro 4337","Saavedra","Comuna 12"
"Privado","Instituto Universitario de Ciencias de la Salud de la Fundación Barceló","Av. Las Heras 2191","Recoleta","Comuna 2"
"Privado","Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires","Maure 1850","Palermo","Comuna 14"
"Privado","Instituto Universitario Escuela Argentina de Negocios","Av. Córdoba 1690","Recoleta","Comuna 2"
"Privado","Instituto Universitario Escuela de Medicina del Hospital Italiano","Potosí 4240","Almagro","Comuna 5"
"Privado","Instituto Universitario Escuela Superior de Economía y Administración de Empresas","Uriarte 2472","Palermo","Comuna 14"
"Privado","Instituto Universitario ISEDET","Camacuá 282","Flores","Comuna 7"
"Privado","Instituto Universitario River Plate","Figueroa Alcorta 7597","Belgrano","Comuna 13"
"Privado","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Av. Alicia Moreau de Justo 1300","Puerto Madero","Comuna 1"
"Privado","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Av. Alicia Moreau de Justo 1400","Puerto Madero","Comuna 1"
"Privado","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Av. Alicia Moreau de Justo 1500","Puerto Madero","Comuna 1"
"Privado","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Ramón Freire 183","Colegiales","Comuna 13"
"Privado","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires","Concordia 4422","Villa Devoto","Comuna 11"
"Privado","Universidad  Favaloro","Entre Ríos 495","Balvanera","Comuna 3"
"Privado","Universidad  Favaloro","Teniente General Juan Domingo Perón 3175","Balvanera","Comuna 3"
"Privado","Universidad  Favaloro","Solís 453","Monserrat","Comuna 1"
"Privado","Universidad Abierta Interamericana","Av. San Juan 983","Constitucion","Comuna 1"
"Privado","Universidad Abierta Interamericana","Chacabuco 90","Monserrat","Comuna 1"
"Privado","Universidad Abierta Interamericana","Montañeses 2759","Belgrano","Comuna 13"
"Privado","Universidad Abierta Interamericana","Montes de Oca 745","Barracas","Comuna 4"
"Privado","Universidad Abierta Interamericana","Palestina 748","Almagro","Comuna 5"
"Privado","Universidad Argentina de la Empresa","Libertad 1340","Retiro","Comuna 1"
"Privado","Universidad Argentina de la Empresa","Lima 717","Monserrat","Comuna 1"
"Privado","Universidad Argentina John F. Kennedy","Bartolomé Mitre 1411","San Nicolas","Comuna 1"
"Privado","Universidad CAECE","Av. de Mayo 866","Monserrat","Comuna 1"
"Privado","Universidad CAECE","Junín 516","Balvanera","Comuna 3"
"Privado","Universidad CAECE","Teniente General Juan Domingo Perón 555","San Nicolas","Comuna 1"
"Privado","Universidad Católica de La Plata","Bartolomé Mitre 2162","Balvanera","Comuna 3"
"Privado","Universidad Católica de Salta","25 de Mayo 457","San Nicolas","Comuna 1"
"Privado","Universidad de Belgrano","Federico Lacroze 1955","Palermo","Comuna 14"
"Privado","Universidad de Belgrano","Lavalle 485","San Nicolas","Comuna 1"
"Privado","Universidad de Belgrano","Villanueva 1324","Palermo","Comuna 14"
"Privado","Universidad de Belgrano","Zabala 1837","Retiro","Comuna 1"
"Privado","Universidad de Ciencias Empresariales y Sociales","Libertad 926","Retiro","Comuna 1"
"Privado","Universidad de Ciencias Empresariales y Sociales","Paraguay 1239","Retiro","Comuna 1"
"Privado","Universidad de Ciencias Empresariales y Sociales","Paraguay 1332","Retiro","Comuna 1"
"Privado","Universidad de Ciencias Empresariales y Sociales","Paraguay 1457","Recoleta","Comuna 2"
"Privado","Universidad de Ciencias Empresariales y Sociales","Paraná 817","Recoleta","Comuna 2"
"Privado","Universidad de Ciencias Empresariales y Sociales","Rodriguez Peña 1085","Recoleta","Comuna 2"
"Privado","Universidad de Flores","Av. Nazca 274","Flores","Comuna 7"
"Privado","Universidad de Flores","Pedernera 275","Flores","Comuna 7"
"Privado","Universidad de Flores","Pedernera 288","Flores","Comuna 7"
"Privado","Universidad de la Marina Mercante","Av. Rivadavia 2258","Balvanera","Comuna 3"
